      r	      	      Kf	         Km           Ky               Kz	          PSI
  0.60000000        120.00000        70.000000        81.255205        84.137167       0.28274334     
  0.60000000        120.00000        120.00000        120.00000        120.00000       0.28274334     
  0.60000000        120.00000        170.00000        154.19591        155.86283       0.28274334     
  0.60000000        170.00000        20.000000        31.511883        62.411501       0.28274334     
  0.60000000        170.00000        70.000000        88.701978        98.274334       0.28274334     
  0.60000000        170.00000        120.00000        132.29930        134.13717       0.28274334     
  0.60000000        170.00000        170.00000        170.00000        170.00000       0.28274334     
  0.70000000        20.000000        20.000000        20.000000        20.000000       0.38484510     
  0.70000000        20.000000        70.000000        45.298565        50.757745       0.38484510     
  0.70000000        20.000000        120.00000        68.113746        81.515490       0.38484510     
  0.70000000        20.000000        170.00000        90.518374        112.27323       0.38484510     
  0.70000000        70.000000        20.000000        30.906226        39.242255       0.38484510     
  0.70000000        70.000000        70.000000        70.000000        70.000000       0.38484510     
  0.70000000        70.000000        120.00000        97.920584        100.75774       0.38484510     
  0.70000000        70.000000        170.00000        122.96871        131.51549       0.38484510     
  0.70000000        120.00000        20.000000        35.235510        58.484510       0.38484510     
  0.70000000        120.00000        70.000000        85.783905        89.242255       0.38484510     
  0.70000000        120.00000        120.00000        120.00000        120.00000       0.38484510     
  0.70000000        120.00000        170.00000        148.84059        150.75774       0.38484510     
  0.70000000        170.00000        20.000000        37.561876        77.726765       0.38484510     
  0.70000000        170.00000        70.000000        96.772876        108.48451       0.38484510     
  0.70000000        170.00000        120.00000        137.05946        139.24226       0.38484510     
  0.70000000        170.00000        170.00000        170.00000        170.00000       0.38484510     
  0.80000000        20.000000        20.000000        20.000000        20.000000       0.50265482     
  0.80000000        20.000000        70.000000        39.294108        44.867259       0.50265482     
  0.80000000        20.000000        120.00000        56.125506        69.734518       0.50265482     
  0.80000000        20.000000        170.00000        72.554971        94.601776       0.50265482     
  0.80000000        70.000000        20.000000        35.628929        45.132741       0.50265482     
  0.80000000        70.000000        70.000000        70.000000        70.000000       0.50265482     
  0.80000000        70.000000        120.00000        91.929025        94.867259       0.50265482     
  0.80000000        70.000000        170.00000        110.95687        119.73452       0.50265482     
  0.80000000        120.00000        20.000000        42.761681        70.265482       0.50265482     
  0.80000000        120.00000        70.000000        91.374936        95.132741       0.50265482     
  0.80000000        120.00000        120.00000        120.00000        120.00000       0.50265482     
  0.80000000        120.00000        170.00000        142.86997        144.86726       0.50265482     
  0.80000000        170.00000        20.000000        46.861540        95.398224       0.50265482     
  0.80000000        170.00000        70.000000        107.24917        120.26548       0.50265482     
  0.80000000        170.00000        120.00000        142.78724        145.13274       0.50265482     
  0.80000000        170.00000        170.00000        170.00000        170.00000       0.50265482     
  0.90000000        20.000000        20.000000        20.000000        20.000000       0.63617251     
  0.90000000        20.000000        70.000000        33.010131        38.191374       0.63617251     
  0.90000000        20.000000        120.00000        43.634904        56.382749       0.63617251     
  0.90000000        20.000000        170.00000        53.832084        74.574123       0.63617251     
  0.90000000        70.000000        20.000000        42.411408        51.808626       0.63617251     
  0.90000000        70.000000        70.000000        70.000000        70.000000       0.63617251     
  0.90000000        70.000000        120.00000        85.479390        88.191374       0.63617251     
  0.90000000        70.000000        170.00000        98.259816        106.38275       0.63617251     
  0.90000000        120.00000        20.000000        55.002272        83.617251       0.63617251     
  0.90000000        120.00000        70.000000        98.269391        101.80863       0.63617251     
  0.90000000        120.00000        120.00000        120.00000        120.00000       0.63617251     
  0.90000000        120.00000        170.00000        136.34812        138.19137       0.63617251     
  0.90000000        170.00000        20.000000        63.159998        115.42588       0.63617251     
  0.90000000        170.00000        70.000000        121.10778        133.61725       0.63617251     
  0.90000000        170.00000        120.00000        149.61708        151.80863       0.63617251     
  0.90000000        170.00000        170.00000        170.00000        170.00000       0.63617251     
