r       ,Kf      ,Km      ,      Ky      ,      Kz      ,      PSI     
  0.6000,120.0000,120.0000,    119.999998,    120.000000,      0.326484
  0.6000,120.0000,170.0000,    151.882495,    153.675806,      0.326484
  0.6000,170.0000, 20.0000,     33.890264,     68.972583,      0.326484
  0.6000,170.0000, 70.0000,     92.042362,    102.648389,      0.326484
  0.6000,170.0000,120.0000,    134.314483,    136.324194,      0.326484
  0.6000,170.0000,170.0000,    169.999992,    170.000000,      0.326484
  0.7000, 20.0000, 20.0000,     20.000000,     20.000000,      0.444381
  0.7000, 20.0000, 70.0000,     42.277726,     47.780958,      0.444381
  0.7000, 20.0000,120.0000,     62.164657,     75.561916,      0.444381
  0.7000, 20.0000,170.0000,     81.678130,    103.342873,      0.444381
  0.7000, 70.0000, 20.0000,     33.114756,     42.219042,      0.444381
  0.7000, 70.0000, 70.0000,     70.000000,     70.000000,      0.444381
  0.7000, 70.0000,120.0000,     94.872612,     97.780958,      0.444381
  0.7000, 70.0000,170.0000,    116.879397,    125.561916,      0.444381
  0.7000,120.0000, 20.0000,     38.607936,     64.438084,      0.444381
  0.7000,120.0000, 70.0000,     88.540002,     92.219042,      0.444381
  0.7000,120.0000,120.0000,    119.999998,    120.000000,      0.444381
  0.7000,120.0000,170.0000,    145.804685,    147.780958,      0.444381
  0.7000,170.0000, 20.0000,     41.627876,     86.657127,      0.444381
  0.7000,170.0000, 70.0000,    101.815010,    114.438084,      0.444381
  0.7000,170.0000,120.0000,    139.913350,    142.219042,      0.444381
  0.7000,170.0000,170.0000,    169.999992,    170.000000,      0.444381
  0.8000, 20.0000, 20.0000,     20.000000,     20.000000,      0.580416
  0.8000, 20.0000, 70.0000,     35.841730,     40.979210,      0.580416
  0.8000, 20.0000,120.0000,     49.589834,     61.958420,      0.580416
  0.8000, 20.0000,170.0000,     63.031225,     82.937631,      0.580416
  0.8000, 70.0000, 20.0000,     39.061055,     49.020790,      0.580416
  0.8000, 70.0000, 70.0000,     70.000000,     70.000000,      0.580416
  0.8000, 70.0000,120.0000,     88.194726,     90.979210,      0.580416
  0.8000, 70.0000,170.0000,    103.762293,    111.958420,      0.580416
  0.8000,120.0000, 20.0000,     48.397992,     78.041580,      0.580416
  0.8000,120.0000, 70.0000,     95.244011,     99.020790,      0.580416
  0.8000,120.0000,120.0000,    119.999998,    120.000000,      0.580416
